"Date","Price","Open","High","Low","Vol.","Change %"
"06/07/2024","251.20","246.76","251.60","245.85","101.90K","1.80%"
"06/06/2024","246.76","246.22","247.86","242.00","200.71K","0.22%"
"06/05/2024","246.22","239.84","247.00","236.50","87.55K","2.66%"
"06/04/2024","239.84","250.50","252.00","237.00","767.06K","-4.77%"
"06/03/2024","251.86","245.10","256.07","245.10","433.10K","3.28%"
"05/31/2024","243.87","244.20","245.25","242.50","258.07K","0.22%"
"05/30/2024","243.34","245.25","245.51","242.84","227.70K","-0.91%"
"05/29/2024","245.58","246.65","247.01","245.37","146.92K","-0.84%"
"05/28/2024","247.65","248.17","248.87","247.10","116.99K","-0.21%"
"05/27/2024","248.17","248.39","249.89","247.64","198.03K","-0.09%"
"05/24/2024","248.39","247.91","248.57","247.09","136.64K","0.19%"
"05/23/2024","247.92","242.01","248.93","242.01","170.71K","1.59%"
"05/22/2024","244.04","243.44","244.32","242.39","70.44K","0.25%"
"05/21/2024","243.44","244.00","244.00","240.73","333.02K","0.22%"
"05/17/2024","242.91","242.09","243.70","241.07","209.72K","0.34%"
"05/16/2024","242.09","240.57","246.00","238.52","270.56K","0.85%"
"05/15/2024","240.06","240.83","241.00","239.39","307.80K","-0.05%"
"05/14/2024","240.19","238.87","240.68","238.51","283.36K","0.55%"
"05/13/2024","238.88","237.98","239.30","235.95","210.72K","0.38%"
"05/10/2024","237.98","237.01","239.00","237.00","502.19K","0.34%"
"05/09/2024","237.18","240.57","240.83","236.89","199.89K","-1.41%"
"05/08/2024","240.58","240.31","241.49","239.50","168.72K","-0.01%"
"05/07/2024","240.60","242.08","242.76","239.63","173.98K","-0.61%"
"05/06/2024","242.08","249.95","249.95","241.49","173.39K","-0.25%"
"05/03/2024","242.68","245.02","247.00","241.16","66.22K","-0.87%"
"05/02/2024","244.82","245.11","248.10","244.19","35.68K","-0.12%"
"04/30/2024","245.11","246.99","251.55","243.62","234.76K","0.10%"
"04/29/2024","244.86","242.12","247.10","241.82","240.95K","1.13%"
"04/26/2024","242.12","243.31","243.33","241.63","112.72K","-0.39%"
"04/25/2024","243.08","241.00","243.67","239.33","34.15K","0.74%"
"04/24/2024","241.30","241.44","242.39","241.00","14.03K","0.02%"
"04/23/2024","241.26","240.83","242.01","240.81","106.34K","0.18%"
"04/22/2024","240.83","238.76","241.60","238.76","51.15K","0.87%"
"04/19/2024","238.76","235.60","239.24","235.26","70.50K","0.56%"
"04/18/2024","237.43","239.00","240.55","237.03","96.20K","-0.57%"
"04/16/2024","238.80","244.25","244.25","238.06","31.58K","-0.61%"
"04/15/2024","240.26","242.01","243.75","240.15","208.75K","-1.14%"
"04/12/2024","243.02","244.67","247.00","242.75","72.61K","-0.67%"
"04/10/2024","244.67","244.33","246.40","243.95","140.74K","0.14%"
"04/09/2024","244.33","247.10","247.10","244.25","23.11K","0.00%"
"04/08/2024","244.32","243.02","245.10","242.86","23.24K","0.52%"
"04/05/2024","243.05","242.84","244.00","242.11","10.59K","-0.02%"
"04/04/2024","243.09","243.52","244.14","240.95","30.30K","0.00%"
"04/03/2024","243.10","242.52","245.95","241.09","886.49K","0.24%"
"04/02/2024","242.53","241.75","243.62","241.27","376.36K","0.32%"
"04/01/2024","241.75","240.56","242.40","240.56","20.74K","0.49%"
"03/28/2024","240.56","238.53","242.00","238.53","22.78K","0.85%"
"03/27/2024","238.53","237.65","239.09","237.01","36.69K","0.58%"
"03/26/2024","237.16","237.47","238.10","236.90","16.69K","-0.39%"
"03/22/2024","238.10","236.38","238.99","235.88","15.07K","0.31%"
"03/21/2024","237.36","235.25","240.00","235.25","70.99K","0.98%"
"03/20/2024","235.05","239.20","239.20","234.08","15.95K","-0.06%"
"03/19/2024","235.18","237.38","241.10","235.00","32.63K","-0.93%"
"03/18/2024","237.38","237.45","238.44","236.50","23.31K","-0.03%"
"03/15/2024","237.45","238.68","238.68","236.06","31.92K","-0.52%"
"03/14/2024","238.68","237.00","239.45","236.48","27.47K","0.70%"
"03/13/2024","237.02","240.49","242.25","236.26","164.67K","-1.44%"
"03/12/2024","240.49","240.78","242.16","239.97","18.82K","-0.04%"
"03/11/2024","240.58","242.15","244.75","240.17","11.86K","-0.59%"
"03/07/2024","242.00","242.11","242.66","241.43","20.19K","-0.05%"
"03/06/2024","242.11","240.58","242.26","239.52","13.70K","0.59%"
"03/05/2024","240.69","241.08","241.36","240.01","10.85K","-0.16%"
"03/04/2024","241.08","240.52","241.58","240.52","20.83K","0.25%"
"03/02/2024","240.48","240.60","241.05","240.24","3.06K","0.12%"
"03/01/2024","240.18","244.05","244.05","236.92","19.40K","1.38%"
"02/29/2024","236.92","236.04","237.89","235.50","25.35K","0.19%"
"02/28/2024","236.48","239.37","239.37","236.07","19.50K","-1.02%"
"02/27/2024","238.92","238.41","239.27","238.00","7.29K","0.16%"
"02/26/2024","238.53","239.05","239.05","237.80","21.05K","-0.22%"
"02/23/2024","239.05","239.09","240.25","238.72","5.60K","-0.02%"
"02/22/2024","239.09","237.50","239.49","236.10","45.12K","0.67%"
"02/21/2024","237.50","239.03","239.65","237.00","38.20K","-0.64%"
"02/20/2024","239.03","240.39","240.40","237.37","14.89K","0.16%"
"02/19/2024","238.64","237.16","239.63","236.77","47.67K","0.62%"
"02/16/2024","237.16","236.01","238.00","235.03","34.10K","0.49%"
"02/15/2024","236.01","235.39","237.39","234.93","19.75K","0.26%"
"02/14/2024","235.39","233.50","235.81","232.39","30.50K","0.46%"
"02/13/2024","234.31","233.20","234.97","231.56","12.35K","0.47%"
"02/12/2024","233.21","234.76","235.19","232.61","59.66K","-0.66%"
"02/09/2024","234.76","234.47","235.00","232.03","12.91K","0.12%"
"02/08/2024","234.47","236.27","237.42","233.58","42.31K","-0.76%"
"02/07/2024","236.27","238.80","239.60","235.26","16.56K","0.24%"
"02/06/2024","235.70","234.26","236.30","234.01","11.62K","0.69%"
"02/05/2024","234.09","235.02","236.60","233.54","19.09K","-0.40%"
"02/02/2024","235.02","233.64","237.70","233.64","22.98K","0.59%"
"02/01/2024","233.64","233.61","234.90","233.21","38.54K","-0.01%"
"01/31/2024","233.66","231.94","234.18","231.13","19.47K","0.74%"
"01/30/2024","231.94","233.49","235.98","231.50","7.82K","-0.66%"
"01/29/2024","233.49","230.29","234.28","230.29","24.16K","1.39%"
"01/25/2024","230.29","231.15","231.15","228.80","22.97K","-0.37%"
"01/24/2024","231.14","228.96","232.90","228.00","17.94K","0.95%"
"01/23/2024","228.96","232.58","235.00","227.74","74.22K","-1.60%"
"01/20/2024","232.69","233.26","233.88","232.20","11.67K","-0.03%"
"01/19/2024","232.77","231.57","233.34","231.57","8.11K","0.52%"
"01/18/2024","231.57","233.75","234.90","229.26","54.09K","-0.23%"
"01/17/2024","232.10","235.13","235.54","231.73","79.47K","-1.96%"
"01/16/2024","236.75","239.80","239.80","236.02","8.18K","-0.25%"
"01/15/2024","237.35","234.50","237.63","233.55","25.98K","0.99%"
"01/12/2024","235.02","233.99","235.50","232.49","23.73K","1.09%"
"01/11/2024","232.48","233.23","233.50","232.22","18.18K","0.06%"
"01/10/2024","232.34","223.45","232.69","223.45","79.46K","0.29%"
"01/09/2024","231.66","231.43","233.49","231.30","20.07K","0.10%"
"01/08/2024","231.43","235.37","235.37","231.08","28.66K","-0.86%"
"01/05/2024","233.44","232.75","233.94","232.30","8.22K","0.30%"
"01/04/2024","232.75","231.56","233.50","230.00","23.17K","0.51%"
"01/03/2024","231.56","232.77","232.77","230.00","16.06K","-0.52%"
"01/02/2024","232.77","233.77","233.77","231.30","47.29K","-0.43%"
"01/01/2024","233.77","233.55","235.29","232.73","21.01K","0.09%"
"12/29/2023","233.55","233.00","234.25","232.00","34.84K","-0.07%"
"12/28/2023","233.72","234.40","234.40","232.77","20.55K","0.59%"
"12/27/2023","232.36","230.32","232.70","229.56","48.08K","0.88%"
"12/26/2023","230.33","231.00","231.00","229.17","24.41K","0.51%"
"12/22/2023","229.17","230.45","230.45","228.14","19.03K","0.33%"
"12/21/2023","228.41","229.60","229.60","225.00","28.51K","0.37%"
"12/20/2023","227.57","230.62","232.41","227.20","31.80K","-1.32%"
"12/19/2023","230.62","230.60","231.55","229.29","9.73K","0.01%"
"12/18/2023","230.60","230.28","231.14","229.46","36.76K","0.14%"
"12/15/2023","230.28","227.53","231.21","227.53","25.74K","1.21%"
"12/14/2023","227.53","224.55","227.98","224.55","23.62K","1.35%"
"12/13/2023","224.49","224.77","225.19","223.12","17.36K","-0.12%"
"12/12/2023","224.77","225.87","226.37","224.11","15.95K","-0.29%"
"12/11/2023","225.42","225.69","226.68","224.04","37.25K","-0.16%"
"12/08/2023","225.77","224.84","226.49","223.56","17.02K","0.41%"
"12/07/2023","224.84","224.43","225.00","224.03","16.74K","0.18%"
"12/06/2023","224.43","225.50","226.45","223.75","20.06K","0.29%"
"12/05/2023","223.77","224.00","224.00","222.01","28.00K","0.80%"
"12/04/2023","221.99","218.10","222.45","218.10","42.65K","2.05%"
"12/01/2023","217.54","218.50","218.50","214.10","30.41K","0.64%"
"11/30/2023","216.15","215.67","216.59","215.11","13.70K","0.22%"
"11/29/2023","215.67","213.53","216.00","213.53","39.59K","1.00%"
"11/28/2023","213.53","212.87","213.99","212.52","61.01K","0.31%"
"11/24/2023","212.87","212.74","213.53","212.31","52.68K","0.03%"
"11/23/2023","212.81","212.97","214.75","212.55","6.24K","-0.08%"
"11/22/2023","212.97","212.57","213.40","211.94","7.04K","0.19%"
"11/21/2023","212.57","212.00","213.49","212.00","8.03K","0.20%"
"11/20/2023","212.15","212.21","212.48","211.25","13.71K","-0.03%"
"11/17/2023","212.22","214.40","214.40","211.74","12.23K","-0.26%"
"11/16/2023","212.77","211.30","213.49","211.00","74.67K","0.73%"
"11/15/2023","211.23","211.89","211.89","210.00","67.50K","0.74%"
"11/13/2023","209.67","210.06","210.06","208.78","13.65K","-0.44%"
"11/12/2023","210.60","210.32","210.89","209.51","28.98K","0.64%"
"11/10/2023","209.27","208.96","209.54","207.56","8.40K","0.22%"
"11/09/2023","208.81","210.74","210.74","207.34","7.13K","-0.12%"
"11/08/2023","209.06","209.00","209.64","208.61","11.54K","-0.04%"
"11/07/2023","209.15","208.65","209.32","208.25","22.01K","0.06%"
"11/06/2023","209.03","206.94","209.37","206.94","18.24K","1.01%"
"11/03/2023","206.94","207.04","207.83","206.65","11.21K","0.25%"
"11/02/2023","206.42","204.46","206.80","204.46","15.26K","0.95%"
"11/01/2023","204.47","205.61","206.25","204.28","22.05K","-0.42%"
"10/31/2023","205.34","206.99","206.99","205.04","22.31K","-0.23%"
"10/30/2023","205.81","205.14","207.45","204.10","36.67K","0.33%"
"10/27/2023","205.14","205.40","205.70","203.26","22.04K","0.93%"
"10/26/2023","203.25","205.91","205.91","202.89","90.12K","-1.55%"
"10/25/2023","206.44","209.44","209.60","205.41","156.59K","-0.53%"
"10/23/2023","207.53","209.77","210.00","207.09","31.68K","-1.07%"
"10/20/2023","209.78","210.01","210.22","209.39","14.62K","-0.46%"
"10/19/2023","210.75","211.00","211.10","209.61","10.39K","-0.26%"
"10/18/2023","211.30","212.15","213.10","211.00","36.10K","-0.53%"
"10/17/2023","212.42","213.74","213.75","211.97","11.27K","0.22%"
"10/16/2023","211.96","212.27","214.00","211.65","30.89K","-0.15%"
"10/13/2023","212.27","211.83","213.00","211.23","15.19K","-0.33%"
"10/12/2023","212.98","216.25","216.25","212.51","20.17K","-0.22%"
"10/11/2023","213.46","213.80","214.25","210.25","31.86K","0.78%"
"10/10/2023","211.81","210.58","212.70","210.25","10.93K","0.58%"
"10/09/2023","210.59","212.39","213.00","209.00","51.14K","-0.21%"
"10/06/2023","211.04","210.01","211.28","210.01","20.82K","0.50%"
"10/05/2023","210.00","211.00","211.00","209.33","37.97K","0.46%"
"10/04/2023","209.03","209.00","211.40","208.00","41.84K","-0.42%"
"10/03/2023","209.91","211.50","211.50","209.08","31.45K","-0.76%"
"09/29/2023","211.51","209.90","215.00","209.77","9.90K","0.77%"
"09/28/2023","209.90","213.44","213.44","209.60","13.60K","-0.89%"
"09/27/2023","211.79","213.24","213.24","210.11","53.69K","0.13%"
"09/26/2023","211.52","211.65","211.91","211.01","17.83K","0.22%"
"09/25/2023","211.05","213.67","213.67","210.60","14.98K","-0.27%"
"09/22/2023","211.63","212.54","214.44","211.23","27.45K","-0.43%"
"09/21/2023","212.54","213.67","213.67","212.00","40.07K","-0.76%"
"09/20/2023","214.17","216.18","216.18","213.54","19.06K","-0.93%"
"09/18/2023","216.19","216.44","218.40","215.85","57.55K","-0.12%"
"09/15/2023","216.44","216.08","216.60","215.82","26.94K","0.54%"
"09/14/2023","215.28","214.98","216.25","214.61","42.37K","0.14%"
"09/13/2023","214.98","214.10","215.49","213.95","26.54K","0.45%"
"09/12/2023","214.02","215.99","215.99","213.30","62.38K","-0.12%"
"09/11/2023","214.27","212.46","214.49","212.46","34.96K","0.85%"
"09/08/2023","212.46","213.25","213.25","211.23","28.09K","0.58%"
"09/07/2023","211.23","210.18","212.18","209.60","35.16K","0.50%"
"09/06/2023","210.18","210.75","210.77","208.66","20.04K","0.22%"
"09/05/2023","209.72","210.20","210.20","209.35","13.74K","0.18%"
"09/04/2023","209.34","208.54","209.50","208.28","11.10K","0.38%"
"09/01/2023","208.54","207.08","208.69","205.56","13.79K","0.70%"
"08/31/2023","207.09","208.00","208.20","206.70","19.48K","-0.37%"
"08/30/2023","207.85","209.50","209.50","207.55","10.04K","0.15%"
"08/29/2023","207.54","207.21","208.75","207.14","18.46K","0.16%"
"08/28/2023","207.21","209.00","209.00","206.40","17.78K","0.05%"
