"Date","Price","Open","High","Low","Vol.","Change %"
"06/18/2024","261.56","260.68","262.50","260.65","3.82M","0.35%"
"06/14/2024","260.65","260.65","261.00","259.46","3.25M","0.13%"
"06/13/2024","260.30","260.00","260.74","259.28","3.39M","0.35%"
"06/12/2024","259.39","261.99","261.99","257.85","4.46M","0.23%"
"06/11/2024","258.80","258.35","259.62","257.02","5.20M","0.33%"
"06/10/2024","257.94","259.45","259.62","257.40","6.74M","-0.19%"
"06/07/2024","258.42","253.88","258.81","252.19","10.36M","2.15%"
"06/06/2024","252.98","252.99","254.10","250.01","10.38M","0.67%"
"06/05/2024","251.30","253.99","254.35","242.13","12.91M","0.33%"
"06/04/2024","250.48","259.87","260.28","246.50","32.50M","-2.97%"
"06/03/2024","258.14","258.70","265.00","252.30","12.02M","2.78%"
"05/31/2024","251.15","251.67","252.12","250.00","9.39M","0.32%"
"05/30/2024","250.35","253.85","253.85","249.51","11.94M","-0.80%"
"05/29/2024","252.37","253.88","253.98","252.10","9.06M","-0.72%"
"05/28/2024","254.20","255.57","255.58","254.00","3.95M","-0.20%"
"05/27/2024","254.72","254.18","256.76","254.01","4.69M","-0.10%"
"05/24/2024","254.98","254.67","255.71","253.08","4.00M","0.27%"
"05/23/2024","254.29","251.99","254.74","249.55","4.37M","1.57%"
"05/22/2024","250.36","250.99","250.99","249.29","2.00M","0.25%"
"05/21/2024","249.74","247.48","250.25","247.48","2.44M","0.41%"
"05/17/2024","248.73","249.99","249.99","247.01","2.25M","0.22%"
"05/16/2024","248.18","247.99","248.50","244.91","5.52M","0.71%"
"05/15/2024","246.42","249.59","249.59","245.00","3.58M","-0.08%"
"05/14/2024","246.61","249.89","249.89","243.70","2.70M","0.59%"
"05/13/2024","245.16","252.30","252.30","242.27","5.28M","0.08%"
"05/10/2024","244.97","244.01","245.67","243.08","4.62M","0.61%"
"05/09/2024","243.49","247.87","247.87","243.20","7.26M","-1.52%"
"05/08/2024","247.24","249.89","249.89","245.12","3.69M","0.05%"
"05/07/2024","247.11","253.89","253.89","245.25","4.13M","-0.51%"
"05/06/2024","248.37","250.99","250.99","248.00","3.07M","-0.15%"
"05/03/2024","248.75","252.57","252.58","247.66","5.32M","-0.83%"
"05/02/2024","250.84","250.99","251.30","249.05","2.21M","0.31%"
"04/30/2024","250.06","252.99","252.99","247.01","4.22M","-0.21%"
"04/29/2024","250.59","246.30","251.40","246.30","2.49M","0.87%"
"04/26/2024","248.44","248.58","250.88","248.05","2.97M","-0.33%"
"04/25/2024","249.27","248.99","249.95","246.28","2.92M","0.54%"
"04/24/2024","247.94","249.75","249.75","247.52","2.88M","0.05%"
"04/23/2024","247.82","249.99","249.99","246.50","3.37M","0.21%"
"04/22/2024","247.31","246.09","247.90","245.68","2.73M","0.72%"
"04/19/2024","245.53","243.48","245.70","241.31","5.78M","0.65%"
"04/18/2024","243.94","252.90","252.90","243.35","5.93M","-0.64%"
"04/16/2024","245.52","246.99","246.99","244.65","3.80M","-0.55%"
"04/15/2024","246.87","249.48","249.99","245.99","6.43M","-1.08%"
"04/12/2024","249.56","251.99","253.10","249.21","4.40M","-0.80%"
"04/10/2024","251.57","254.69","254.69","246.20","1.97M","0.33%"
"04/09/2024","250.74","251.80","252.58","250.38","2.38M","0.00%"
"04/08/2024","250.75","250.47","250.95","248.18","3.97M","0.68%"
"04/05/2024","249.05","248.11","250.17","248.10","3.47M","-0.07%"
"04/04/2024","249.23","249.59","250.60","247.23","4.61M","0.26%"
"04/03/2024","248.59","248.99","249.48","246.18","3.20M","-0.02%"
"04/02/2024","248.65","248.97","249.48","246.65","3.15M","0.19%"
"04/01/2024","248.19","254.35","254.35","246.48","3.79M","0.50%"
"03/28/2024","246.96","246.10","248.69","243.88","6.48M","0.82%"
"03/27/2024","244.96","247.00","247.00","240.75","2.87M","0.48%"
"03/26/2024","243.79","243.25","246.10","241.75","2.08M","-0.39%"
"03/22/2024","244.74","244.78","245.40","242.50","2.79M","0.31%"
"03/21/2024","243.99","243.80","248.85","242.18","2.70M","1.00%"
"03/20/2024","241.58","242.99","242.99","240.54","3.19M","-0.01%"
"03/19/2024","241.60","243.97","243.98","241.37","5.08M","-0.98%"
"03/18/2024","243.98","251.10","251.10","242.58","2.50M","0.07%"
"03/15/2024","243.80","244.90","245.38","242.66","4.30M","-0.65%"
"03/14/2024","245.39","244.38","245.90","242.28","5.27M","0.69%"
"03/13/2024","243.71","248.89","248.89","242.75","6.41M","-1.50%"
"03/12/2024","247.42","248.99","248.99","246.01","3.42M","-0.01%"
"03/11/2024","247.45","248.67","249.80","247.02","2.67M","-0.49%"
"03/07/2024","248.67","248.70","249.00","248.13","2.48M","0.02%"
"03/06/2024","248.62","248.99","248.99","246.10","2.45M","0.52%"
"03/05/2024","247.34","248.87","248.87","246.71","1.91M","-0.20%"
"03/04/2024","247.83","248.99","249.98","247.08","3.28M","0.21%"
"03/02/2024","247.31","247.35","247.87","247.18","353.21K","0.19%"
"03/01/2024","246.85","244.58","246.99","243.05","2.17M","1.48%"
"02/29/2024","243.25","244.99","244.99","241.01","3.21M","0.07%"
"02/28/2024","243.07","242.30","246.88","242.30","2.55M","-0.99%"
"02/27/2024","245.50","245.00","245.71","244.00","2.41M","0.26%"
"02/26/2024","244.87","245.50","246.50","244.02","1.93M","-0.33%"
"02/23/2024","245.69","246.89","246.89","245.16","2.41M","-0.04%"
"02/22/2024","245.79","244.50","246.21","242.45","2.97M","0.79%"
"02/21/2024","243.87","246.00","246.29","243.50","3.33M","-0.61%"
"02/20/2024","245.37","246.99","246.99","243.01","2.11M","0.13%"
"02/19/2024","245.04","244.50","245.75","243.58","2.51M","0.43%"
"02/16/2024","243.99","244.00","244.23","242.58","4.13M","0.52%"
"02/15/2024","242.72","242.99","243.00","241.20","1.82M","0.48%"
"02/14/2024","241.55","239.90","241.99","237.55","3.34M","0.40%"
"02/13/2024","240.59","246.50","246.50","238.70","1.62M","0.53%"
"02/12/2024","239.32","241.00","242.50","238.97","3.45M","-0.61%"
"02/09/2024","240.78","240.90","241.02","239.00","1.75M","0.21%"
"02/08/2024","240.28","242.35","243.38","239.90","3.76M","-0.85%"
"02/07/2024","242.35","249.25","249.25","234.75","2.24M","0.14%"
"02/06/2024","242.01","247.45","247.45","237.65","1.69M","0.74%"
"02/05/2024","240.24","248.55","248.55","239.90","2.86M","-0.44%"
"02/02/2024","241.30","243.40","244.28","240.01","4.95M","0.53%"
"02/01/2024","240.03","241.99","241.99","239.48","3.20M","-0.10%"
"01/31/2024","240.26","238.78","240.48","237.50","1.87M","0.89%"
"01/30/2024","238.13","241.99","241.99","237.95","3.43M","-0.80%"
"01/29/2024","240.05","238.00","240.40","236.15","2.67M","1.65%"
"01/25/2024","236.15","238.00","238.00","235.10","2.33M","-0.48%"
"01/24/2024","237.29","235.68","237.59","233.50","2.91M","1.03%"
"01/23/2024","234.87","241.90","241.90","234.50","5.38M","-1.71%"
"01/20/2024","238.95","239.80","239.88","238.53","1.56M","-0.08%"
"01/19/2024","239.15","239.99","239.99","237.75","2.71M","0.69%"
"01/18/2024","237.51","237.99","238.21","233.30","6.17M","-0.36%"
"01/17/2024","238.38","240.99","243.00","238.10","6.13M","-2.00%"
"01/16/2024","243.24","244.60","244.99","242.41","3.06M","-0.34%"
"01/15/2024","244.07","241.73","244.30","241.73","3.10M","0.97%"
"01/12/2024","241.73","239.01","242.35","239.01","3.83M","1.20%"
"01/11/2024","238.87","239.70","239.70","238.01","2.23M","0.05%"
"01/10/2024","238.76","238.99","238.99","236.76","2.56M","0.41%"
"01/09/2024","237.78","239.99","239.99","237.50","2.26M","0.04%"
"01/08/2024","237.68","242.00","242.00","237.50","3.11M","-0.86%"
"01/05/2024","239.74","239.80","240.00","238.01","3.02M","0.18%"
"01/04/2024","239.30","237.70","239.59","237.19","2.59M","0.66%"
"01/03/2024","237.74","240.00","240.00","237.50","2.25M","-0.61%"
"01/02/2024","239.21","241.00","241.00","238.00","2.72M","-0.47%"
"01/01/2024","240.35","240.99","241.14","238.01","3.30M","0.29%"
"12/29/2023","239.65","247.35","247.35","238.00","4.34M","-0.21%"
