company_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Mahindra & Mahindra,M&M.NS,HEROMOTOCO.NS,IOC.NS,ICICIBANK.NS,ICICIBANK.NS,HINDPETRO.NS,ICICIBANK.NS,IOC.NS,JPASSOCIAT.NS,INFY.NS,ICICIBANK.NS,HINDALCO.NS,HINDALCO.NS,HINDALCO.NS,HEROMOTOCO.NS,,HINDALCO.NS,ICICIBANK.NS,HINDALCO.NS,HINDUNILVR.NS,M&M.NS,HEROMOTOCO.NS,HINDALCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS
Bajaj Auto,BAJAJ-AUTO.NS,ASHOKLEY.NS,INFY.NS,INFY.NS,IOC.NS,ICICIBANK.NS,INFY.NS,JPASSOCIAT.NS,LT.NS,ITC.NS,IDFCFIRSTB.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDALCO.NS,HDFCBANK.NS,HINDUNILVR.NS,INDUSINDBK.NS,HINDUNILVR.NS,,TATASTEEL.NS,HINDALCO.NS,HINDUNILVR.NS,HINDALCO.NS,HINDALCO.NS
Hero Motocorp (Hero Honda),HEROMOTOCO.NS,RELIANCE.NS,ITC.NS,IOC.NS,INFY.NS,IOC.NS,ITC.NS,LT.NS,M&M.NS,IOC.NS,INFY.NS,HDFCBANK.NS,ICICIBANK.NS,HINDPETRO.NS,HINDUNILVR.NS,HEROMOTOCO.NS,HINDZINC.NS,INFY.NS,HINDPETRO.NS,ICICIBANK.NS,POWERGRID.NS,HINDUNILVR.NS,,HINDUNILVR.NS,HINDUNILVR.NS
Ashok Leyland,ASHOKLEY.NS,IOC.NS,LT.NS,ITC.NS,ITC.NS,INFY.NS,IOC.NS,M&M.NS,MARUTI.NS,JPASSOCIAT.NS ,ITC.NS,ICICIBANK.NS,IDFCFIRSTB.NS,ICICIBANK.NS,HINDPETRO.NS,HINDALCO.NS,ICICIBANK.NS,IOC.NS,HDFCLIFE.NS,INDUSINDBK.NS,NTPC.NS,ICICIBANK.NS,ICICIBANK.NS,,ICICIBANK.NS
Reliance Industries,RELIANCE.NS,HINDPETRO.NS,M&M.NS,LT.NS,LT.NS,ITC.NS,RELIANCE.NS,MARUTI.NS,NTPC.NS,JINDALSTEL.NS,JINDALSTEL.NS,IDFCFIRSTB.NS,ITC.NS,IDFCFIRSTB.NS,ICICIBANK.NS,HINDUNILVR.NS,IDEA.NS,ITC.NS,ICICIBANK.NS,INFY.NS,NESTLEIND.NS,INDUSINDBK.NS,ITC.NS,ICICIBANK.NS,ITC.NS
Indian Oil Corporation,IOC.NS,BPCL.NS,MTNL.NS,M&M.NS,M&M.NS,LT.NS,LT.NS,MTNL.NS,ONGC.NS,KOTAKBANK.NS,JPASSOCIAT.NS,INFY.NS,INFY.NS,INDUSINDBK.NS,IDFCFIRSTB.NS,HINDPETRO.NS,INDUSINDBK.NS,JSWSTEEL.NS,ITC.NS,IOC.NS,TECHM.NS,INFY.NS,INDUSINDBK.NS,ITC.NS,INDUSINDBK.NS
HPCL,HINDPETRO.NS,GAIL.NS,NATIONALUM.NS,MTNL.NS,MTNL.NS,M&M.NS,M&M.NS,NTPC.NS,PNB.NS,LT.NS,KOTAKBANK.NS,ITC.NS,IOC.NS,INFY.NS,INDUSINDBK.NS,ICICIBANK.NS,INFY.NS,KOTAKBANK.NS,IOC.NS,ITC.NS,WIPRO.NS,IOC.NS,INFY.NS,INDUSINDBK.NS,INFY.NS
BPCL,BPCL.NS,SUNPHARMA.NS,NESTLEIND.NS,NATIONALUM.NS,NATIONALUM.NS,MARUTI.NS,MARUTI.NS,ONGC.NS,POWERGRID.NS,M&M.NS,LT.NS,JINDALSTEL.NS,JINDALSTEL.NS,ITC.NS,INFY.NS,IDFCFIRSTB.NS,ITC.NS,LT.NS,INDUSINDBK.NS,JSWSTEEL.NS,ADANIPORTS.NS,ITC.NS,JSWSTEEL.NS,INFY.NS,JSWSTEEL.NS
ONGC,ONGC.NS,DRREDDY.NS,NIITLTD.NS,NESTLEIND.NS,NESTLEIND.NS,MTNL.NS,MTNL.NS,PNB.NS,SUNPHARMA.NS,MARUTI.NS,M&M.NS,JPASSOCIAT.NS,JPASSOCIAT.NS,JINDALSTEL.NS,ITC.NS,INDUSINDBK.NS,KOTAKBANK.NS,LUPIN.NS,INFY.NS,KOTAKBANK.NS,JSWSTEEL.NS,JSWSTEEL.NS,KOTAKBANK.NS,JSWSTEEL.NS,KOTAKBANK.NS
GAIL,GAIL.NS,CIPLA.NS,PNB.NS,ONGC.NS,ONGC.NS,NATIONALUM.NS,NATIONALUM.NS,SUNPHARMA.NS,RELIANCE.NS,NTPC.NS,MARUTI.NS,KOTAKBANK.NS,KOTAKBANK.NS,JPASSOCIAT.NS,JINDALSTEL.NS,INFY.NS,LT.NS,M&M.NS,JSWSTEEL.NS,LT.NS,BAJAJFINSV.NS,KOTAKBANK.NS,LT.NS,KOTAKBANK.NS,LT.NS
SUNPHARMA (Now Sun Pharma),SUNPHARMA.NS,GLAXO.NS,SUNPHARMA.NS,PNB.NS,PNB.NS,ONGC.NS,ONGC.NS,RELIANCE.NS,RELINFRA.NS,ONGC.NS,NTPC.NS,LT.NS,LT.NS,KOTAKBANK.NS,KOTAKBANK.NS,ITC.NS,LUPIN.NS,MARUTI.NS,KOTAKBANK.NS,M&M.NS,GRASIM.NS,LT.NS,M&M.NS,LT.NS,M&M.NS
Dr. Reddy’s Labs,DRREDDY.NS,LT.NS,RELIANCE.NS,PNB.NS,,PNB.NS,PNB.NS,RELINFRA.NS,RPOWER.NS,PNB.NS,ONGC.NS,LUPIN.NS,LUPIN.NS,LT.NS,LT.NS,KOTAKBANK.NS,M&M.NS,NTPC.NS,LT.NS,MARUTI.NS,DRREDDY.NS,M&M.NS,MARUTI.NS,M&M.NS,MARUTI.NS
Cipla,CIPLA.NS,TATASTEEL.NS,SAIL.NS,SUNPHARMA.NS,SUNPHARMA.NS,PNB.NS,PNB.NS,SAIL.NS,SAIL.NS,POWERGRID.NS,POWERGRID.NS,M&M.NS,M&M.NS,LUPIN.NS,LUPIN.NS,LT.NS,MARUTI.NS,ONGC.NS,M&M.NS,NESTLEIND.NS,HDFCLIFE.NS,MARUTI.NS,NTPC.NS,MARUTI.NS,NTPC.NS
GlaxoSmithKline Pharma (Now GSK India),GLAXO.NS,HINDALCO.NS,TECHM.NS,RELCAPITAL.NS,RPOWER.NS,SUNPHARMA.NS,SUNPHARMA.NS,TECHM.NS,TECHM.NS,SUNPHARMA.NS,PNB.NS,MARUTI.NS,MARUTI.NS,M&M.NS,M&M.NS,LUPIN.NS,NTPC.NS,POWERGRID.NS,MARUTI.NS,NTPC.NS,CIPLA.NS,NESTLEIND.NS,NESTLEIND.NS,NTPC.NS,NESTLEIND.NS
Larsen & Toubro,LT.NS,ACC.NS,SBIN.NS,RELIANCE.NS,RELIANCE.NS,RPOWER.NS,RELIANCE.NS,SBIN.NS,SBIN.NS,RCOM.NS,SUNPHARMA.NS,NMDC.NS,NMDC.NS,MARUTI.NS,MARUTI.NS,M&M.NS,ONGC.NS,RELIANCE.NS,NTPC.NS,ONGC.NS,SHREECEM.NS,NTPC.NS,ONGC.NS,NESTLEIND.NS,ONGC.NS
Grasim Industries,GRASIM.NS,AMBUJACEM.NS,SIEMENS.NS,SAIL.NS,SAIL.NS,RELIANCE.NS,RELINFRA.NS,SIEMENS.NS,SIEMENS.NS,RELIANCE.NS,RELIANCE.NS,NTPC.NS,NTPC.NS,NMDC.NS,NMDC.NS,MARUTI.NS,POWERGRID.NS,SBIN.NS,ONGC.NS,POWERGRID.NS,UPL.NS,ONGC.NS,POWERGRID.NS,ONGC.NS,POWERGRID.NS
Tata Steel,TATASTEEL.NS,BHEL.NS,TATAMOTORS.NS,TECHM.NS,TECHM.NS,SAIL.NS,SAIL.NS,SUNPHARMA.NS,VEDL.NS,RELINFRA.NS,RELINFRA.NS,ONGC.NS,ONGC.NS,NTPC.NS,NTPC.NS,NMDC.NS,RELIANCE.NS,SUNPHARMA.NS,POWERGRID.NS,RELIANCE.NS,BRITANNIA.NS,POWERGRID.NS,RELIANCE.NS,POWERGRID.NS,RELIANCE.NS
Hindalco,HINDALCO.NS,SAIL.NS,TATASTEEL.NS,SBIN.NS,SBIN.NS,TECHM.NS,TECHM.NS,SUZLON.NS,SUNPHARMA.NS,RPOWER.NS,RPOWER.NS,POWERGRID.NS,POWERGRID.NS,ONGC.NS,ONGC.NS,NTPC.NS,SBIN.NS,TATAMOTORS.NS,RELIANCE.NS,SBIN.NS,HEROMOTOCO.NS,RELIANCE.NS,SBILIFE.NS,RELIANCE.NS,SBILIFE.NS
ACC,ACC.NS,NATIONALUM.NS,TATAMOTORS.NS,SIEMENS.NS,SIEMENS.NS,SBIN.NS,SBIN.NS,TATAMOTORS.NS,SUZLON.NS,SAIL.NS,SAIL.NS,PNB.NS,PNB.NS,POWERGRID.NS,POWERGRID.NS,ONGC.NS,SUNPHARMA.NS,TATASTEEL.NS,SBIN.NS,SUNPHARMA.NS,INDUSINDBK.NS,SBILIFE.NS,SBIN.NS,SBILIFE.NS,SBIN.NS
